Aqua Production (Millions),Marine Protected Area (sqkm),Inventions (number),Instruments (number),Fishing Exports (Millions),Value,Country,Year
23621.0,59.33,10.5,5.0,4049.5,8.62,Sweden,2017
393.0,1239.76,8.0,1.0,963.54,6.25,Türkiye,2017
190769.5,1675.79,50.17,6.0,3353.97,12,United Kingdom,2017
1640636.0,562.63,339.33,15.0,6068.77,2.73,United States,2017
11631.75,10.03,2.0,2.0,1996.18,18.18,  Argentina,2017
61173.75,269.74,27.0,1.0,217.4,11.11,  Brazil,2017
3610.5,61390.91,122.33,0.0,21256.35,0,  China (People's Republic of),2017
659.75,3629.56,13.17,1.0,6793.55,0.6,  India,2017
170877.0,6726.14,1.0,15.0,4103.46,78.95,  Indonesia,2017
13990.5,592.44,4.0,14.0,752.2,53.85,  Malaysia,2017
3983.25,366.02,1.5,1.0,2746.85,20,  Peru,2017
10056.0,1683.08,1.5,12.0,944.41,57.14,  Philippines,2017
121705.0,308.51,87.0,1.0,3997.38,7.14,  Russia,2017
12991.5,1944.87,2.0,12.0,5724.61,85.71,  Thailand,2017
3380.5,5003.52,2.0,4.0,8330.96,80,  Viet Nam,2017
3030763.0,919.12,7.2,6.0,1031.86,6.59,Australia,2018
1249.75,0.0,13.0,0.0,1053.2,0,Belgium,2018
179983.5,1049.25,27.0,9.0,5158.11,4.37,Canada,2018
1340514.0,9243.46,13.25,9.0,6103.21,23.68,Chile,2018
95429.75,98.15,4.25,0.0,139.3,0,Colombia,2018
58577.25,22.26,0.0,10.0,135.84,32.26,Costa Rica,2018
19088.25,124.73,28.5,5.0,4653.15,5.88,Denmark,2018
6730.75,3.45,1.0,5.0,148.9,16.13,Estonia,2018
8874.5,69.15,18.0,11.0,195.34,14.67,Finland,2018
133928.0,733.95,106.7,6.0,1760.61,10.53,France,2018
25641.0,101.85,76.67,1.0,2708.93,2.78,Germany,2018
22628.25,599.73,7.33,1.0,775.41,4.17,Greece,2018
3261.5,88.32,2.0,4.0,1843.72,17.39,Iceland,2018
8785.25,187.72,6.0,3.0,703.5,11.11,Ireland,2018
10.5,39.36,5.0,7.0,19.53,15.91,Israel,2018
38826.0,494.74,23.5,2.0,824.59,2.99,Italy,2018
313566.8,4738.79,127.37,0.0,2175.3,0,Japan,2018
7925.5,2853.08,476.2,4.0,1880.06,7.02,Korea,2018
4637.0,0.6,0.0,3.0,220.27,7.32,Latvia,2018
1554.0,1.5,0.0,4.0,585.23,12.12,Lithuania,2018
708751.3,712.71,10.0,2.0,1507.3,7.69,Mexico,2018
17206.25,100.53,36.83,5.0,5112.03,14.29,Netherlands,2018
1223908.0,770.87,1.0,2.0,1164.07,5.71,New Zealand,2018
7576.0,7702.16,97.53,6.0,11092.09,13.95,Norway,2018
7419.0,68.78,12.5,1.0,2361.09,2.33,Poland,2018
76886.75,103.4,2.0,2.0,1162.88,6.67,Portugal,2018
11.72,6.26,0.0,3.0,40.01,8.33,Slovenia,2018
128481.0,616.15,19.58,7.0,4650.89,5.34,Spain,2018
23777.0,56.03,20.5,5.0,4697.06,8.47,Sweden,2018
393.0,1474.02,6.33,1.0,1239.93,6.25,Türkiye,2018
193266.0,1389.37,51.37,6.0,3108.06,12,United Kingdom,2018
1640636.0,644.69,391.7,15.0,5491.29,2.72,United States,2018
82862.0,7.93,8.0,2.0,2508.66,16.67,  Argentina,2018
979951.8,298.28,18.33,1.0,251.96,11.11,  Brazil,2018
3610.5,59795.39,112.0,0.0,21225.42,0,  China (People's Republic of),2018
659.75,3730.93,9.0,1.0,6644.93,0.6,  India,2018
180789.3,7304.79,0.5,15.0,4510.68,78.95,  Indonesia,2018
13990.5,581.31,2.0,14.0,744.54,53.85,  Malaysia,2018
3983.25,575.28,0.0,1.0,3112.24,20,  Peru,2018
31752.5,1795.84,4.0,12.0,982.19,57.14,  Philippines,2018
167328.3,372.43,75.0,1.0,4579.76,7.14,  Russia,2018
13596.0,1979.22,3.5,12.0,5404.98,85.71,  Thailand,2018
3380.5,6490.13,2.2,4.0,8430.35,80,  Viet Nam,2018
3036163.0,889.75,10.08,6.0,1059.83,6.52,Australia,2019
1249.75,0.0,4.5,0.0,1007.6,0,Belgium,2019
508196.3,894.76,20.0,9.0,5460.01,4.35,Canada,2019
1509188.0,10308.88,15.5,9.0,6279.73,23.68,Chile,2019
95429.75,132.67,7.0,0.0,152.82,0,Colombia,2019
58577.25,21.86,0.5,10.0,125.21,32.26,Costa Rica,2019
19088.25,136.28,32.75,5.0,4665.58,5.88,Denmark,2019
6782.0,3.21,0.0,5.0,194.17,16.13,Estonia,2019
8876.0,63.49,7.5,11.0,174.56,14.47,Finland,2019
134071.5,806.11,50.33,6.0,1724.71,10.53,France,2019
25657.75,107.78,64.75,1.0,2560.73,2.78,Germany,2019
22628.25,568.8,2.5,1.0,768.39,4.17,Greece,2019
3263.5,161.51,3.0,4.0,1990.33,17.39,Iceland,2019
10020.5,177.11,5.0,3.0,666.91,11.11,Ireland,2019
10.5,45.99,12.33,7.0,21.64,15.91,Israel,2019
39615.0,466.78,19.5,2.0,799.98,2.82,Italy,2019
313566.8,4536.76,92.0,0.0,2045.88,0,Japan,2019
7999.0,2689.65,434.75,4.0,2087.82,7.02,Korea,2019
4637.0,0.37,0.0,3.0,212.97,7.5,Latvia,2019
1554.0,1.72,0.0,4.0,621.82,12.12,Lithuania,2019
708751.3,908.83,1.0,2.0,1376.5,7.69,Mexico,2019
17206.25,79.76,20.5,5.0,5283.95,13.51,Netherlands,2019
1223908.0,817.77,8.5,2.0,1252.45,5.71,New Zealand,2019
7576.25,8182.92,78.0,6.0,12068.1,13.95,Norway,2019
7419.0,77.72,8.0,1.0,2437.73,2.22,Poland,2019
76886.75,106.6,4.0,2.0,1108.86,6.25,Portugal,2019
11.72,6.11,1.0,3.0,42.11,8.57,Slovenia,2019
128531.3,676.09,19.33,7.0,4513.45,5.22,Spain,2019
23883.75,43.34,13.0,5.0,4635.01,8.47,Sweden,2019
393.0,1776.96,7.83,1.0,1372.86,6.25,Türkiye,2019
301220.5,1625.97,43.58,6.0,3348.43,12,United Kingdom,2019
1640681.0,567.91,270.67,15.0,5054.76,2.73,United States,2019
87191.75,8.58,0.0,2.0,2439.32,16.67,  Argentina,2019
979951.8,305.97,14.0,1.0,310.54,11.11,  Brazil,2019
5129.0,63430.04,188.17,0.0,20221.08,0,  China (People's Republic of),2019
659.75,4194.63,5.5,1.0,6527.31,0.6,  India,2019
180789.3,6765.83,0.0,15.0,4444.52,78.95,  Indonesia,2019
24014.25,1320.12,0.0,14.0,899.03,53.85,  Malaysia,2019
3983.25,466.52,1.0,2.0,3317.97,33.33,  Peru,2019
31752.5,1916.34,8.5,12.0,881.3,57.14,  Philippines,2019
167372.8,520.61,66.83,1.0,4729.1,7.14,  Russia,2019
13596.0,1994.06,1.0,13.0,4962.58,86.67,  Thailand,2019
3380.5,8477.3,0.0,4.0,8189.67,80,  Viet Nam,2019
